fhour,foco,lat,lon,tipo_foco,estado,viento_kt,dir_deg,viento_comp,temp_c,rh,pr,pbl,major_m,minor_m,nivel,orografia_tipo,d_foco_humedal_m,d_target_humedal_m,d_foco_ruta_m,d_target_ruta_m,d_foco_agua_m,d_target_agua_m,score_foco_humedal,score_target_humedal,score_foco_ruta,score_target_ruta,score_foco_agua,score_target_agua,score_eco,dist_km,score_dist,score_foco,score_estado,score_transporte,score_rh,score_pr,score_temp,score_pbl,score_persist,score_orografia,eco_bonus,score_total
0,Bollenar,-33.6,-71.1,traspatio,activo,7.16465900491237,56.830672792680275,NE,21.28656005859375,46.70000076293945,0.0,939.8334350585938,12593.01241486325,8199.1589786811,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.30000000000000004,0.45,1.0,1.0,0.75,0.785,0.7628371059894561,0.0,0.5356748110008239
0,Talagante,-33.66,-70.93,industrial,activo,7.84700284341773,99.17139360786013,E,21.386566162109375,43.20000076293945,0.0,833.9134521484375,13268.532814983553,8443.78736045085,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.45,1.0,1.0,0.75,0.785,0.49669439271092414,0.0,0.5600627073035241
3,Bollenar,-33.6,-71.1,traspatio,activo,7.69435934982876,47.89752121082665,NE,17.392059326171875,59.70000076293945,0.0,616.0909423828125,13117.415756330474,7950.7771235654745,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.30000000000000004,0.75,1.0,1.0,1.0,0.925,0.7628371059894561,0.0,0.554994811000824
3,Talagante,-33.66,-70.93,industrial,activo,7.903715597827708,96.86626568228934,E,16.79205322265625,60.79999923706055,0.0,465.7709655761719,13377.977104787216,7893.006491824459,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.5793827073035241
6,Bollenar,-33.6,-71.1,traspatio,activo,4.2966602553441895,70.776610031225,E,12.36614990234375,82.0999984741211,0.0,148.49497985839844,10831.476727009347,6390.571268935516,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.573624811000824
6,Talagante,-33.66,-70.93,industrial,activo,3.9309783601600765,80.95912468815254,E,12.046173095703125,83.5,0.0,136.9749755859375,10495.189634304097,6192.161884239418,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5731727073035241
9,Bollenar,-33.6,-71.1,traspatio,activo,2.9086796178009346,76.84906911916175,E,10.873748779296875,90.0999984741211,0.0,124.83638763427734,9640.721477345956,5688.025671634115,MEDIO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.573624811000824
9,Talagante,-33.66,-70.93,industrial,activo,3.183798715772427,88.23502048207638,E,10.07373046875,94.19999694824219,0.0,61.23638916015625,10131.445881189375,5977.553069901732,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5731727073035241
12,Bollenar,-33.6,-71.1,traspatio,activo,1.6020383076441245,26.8632040946095,NE,11.150054931640625,87.69999694824219,0.0,179.48684692382812,8067.4312989962555,4759.784466407791,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.533880811000824
12,Talagante,-33.66,-70.93,industrial,activo,1.1421352509856537,5.117222753562999,N,9.850067138671875,93.69999694824219,0.0,81.00684356689453,7747.989089192306,4571.313562623461,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5880767073035241
15,Bollenar,-33.6,-71.1,traspatio,activo,0.4435996855001873,35.07301743328679,NE,10.74884033203125,88.30000305175781,0.0,46.23880386352539,6779.555441212925,3999.937710315626,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.11000000000000001,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.533880811000824
15,Talagante,-33.66,-70.93,industrial,activo,0.8637636754719231,336.26367876548915,NW,9.348846435546875,94.0,0.0,11.678803443908691,7435.497465299128,4386.943504526486,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.6129167073035241
18,Bollenar,-33.6,-71.1,traspatio,activo,0.4571443681171274,270.78575337945927,W,10.9703369140625,87.5,0.0,86.41162109375,6771.0517015459,3994.9205039120816,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.7628371059894561,0.0,0.548784811000824
18,Talagante,-33.66,-70.93,industrial,activo,1.213342021560117,3.200228954238014,N,10.9703369140625,85.5,0.0,63.691619873046875,7555.6126980159415,4457.811491829406,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.49669439271092414,0.0,0.5880767073035241
21,Bollenar,-33.6,-71.1,traspatio,activo,4.4807812210385505,61.98639034386798,NE,17.66741943359375,58.0,0.0,594.4049682617188,9935.973408828166,5992.502818751633,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.2,0.75,1.0,1.0,1.0,0.925,0.7628371059894561,0.0,0.538434811000824
21,Talagante,-33.66,-70.93,industrial,activo,5.95294564415645,115.892474136928,SE,17.9674072265625,55.29999923706055,0.0,591.2050170898438,11393.416187714885,6866.440094934039,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.75,1.0,1.0,1.0,0.925,0.49669439271092414,0.0,0.5793827073035241
24,Bollenar,-33.6,-71.1,traspatio,activo,4.545358604224108,43.99312423240718,NE,22.247283935546875,40.900001525878906,0.0,933.6378173828125,9999.90501818187,6502.212986577279,BAJO,VALLE,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10.674212274874577,0.65,0.6,1.0,0.2,0.45,1.0,0.8,0.75,0.755,0.7628371059894561,0.0,0.5149748110008239
24,Talagante,-33.66,-70.93,industrial,activo,6.36221902552195,108.48525177983771,E,22.617279052734375,38.400001525878906,0.0,894.4378051757812,11798.596835266731,7607.534999454113,MEDIO,INTERMEDIO,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,12.39543007434001,0.65,1.0,1.0,0.21000000000000002,0.45,1.0,0.8,0.75,0.755,0.49669439271092414,0.0,0.5559227073035241
